Statistikdatum,Totalt_antal_fall,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland_Härjedalen,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra_Götaland,Örebro,Östergötland
2021-01-01,2618,31,20,20,33,18,3,25,78,13,43,975,238,5,85,12,13,13,68,716,71,138
2021-01-02,2531,20,9,9,27,44,7,23,83,10,20,202,760,40,128,14,36,4,0,948,92,55
2021-01-03,2754,184,211,7,10,30,95,272,38,14,30,279,161,96,78,111,7,163,4,813,84,67
2021-01-04,6984,11,28,23,263,938,9,50,174,52,28,2472,1092,59,83,15,180,40,249,647,152,419
2021-01-05,7546,284,236,36,303,434,119,432,159,232,57,1582,1313,297,314,89,142,238,171,725,116,267
2021-01-06,5029,148,133,24,177,48,98,143,147,319,203,636,823,111,220,99,87,139,187,924,109,254
2021-01-07,7150,18,24,3,85,473,12,211,254,31,44,2116,1071,64,98,22,46,77,68,2054,176,203
2021-01-08,5693,186,154,31,75,281,106,293,182,221,36,1281,828,192,184,130,108,138,15,970,90,192
2021-01-09,4736,128,124,30,208,49,54,237,96,174,149,1221,463,110,168,67,97,103,323,673,166,96
2021-01-10,2317,13,15,5,156,16,6,30,66,8,22,755,215,5,53,11,2,13,68,789,31,38
2021-01-11,4648,20,12,0,24,359,14,33,105,11,119,1861,528,33,49,37,12,29,8,848,119,427
2021-01-12,5340,226,189,25,139,397,104,290,110,195,88,480,1054,139,181,81,155,239,150,770,72,256
2021-01-13,6595,113,102,11,115,266,49,206,155,142,153,2291,716,90,122,60,30,74,111,1329,144,316
2021-01-14,4746,102,110,23,155,226,38,168,157,108,110,994,545,120,136,69,54,106,103,1169,69,184
2021-01-15,4205,69,101,10,86,203,27,162,106,104,57,887,537,77,141,44,75,107,127,982,83,220
2021-01-16,2161,84,87,13,47,41,37,168,27,119,98,309,235,7,39,45,69,62,34,500,82,58
2021-01-17,1250,7,7,1,54,10,0,17,65,4,11,325,140,38,22,8,1,0,39,404,46,51
2021-01-18,2113,6,26,2,15,183,2,27,31,5,92,709,289,21,82,19,9,51,9,151,60,324
2021-01-19,4732,153,157,13,122,300,96,280,86,172,57,995,980,110,69,66,115,151,141,396,90,183
2021-01-20,4949,61,91,9,122,211,49,193,173,81,142,947,697,109,119,41,64,111,121,1277,125,206
2021-01-21,4199,58,93,12,73,208,33,181,115,118,137,1062,586,71,192,45,66,100,17,806,77,149
2021-01-22,3723,52,58,4,92,183,20,138,85,131,82,794,552,55,112,44,60,58,153,756,100,194
2021-01-23,2368,40,72,16,71,52,38,189,56,117,50,417,324,45,84,38,73,44,53,432,101,56
2021-01-24,1147,9,14,1,11,16,10,13,13,4,18,309,117,1,36,13,2,4,46,439,29,42
2021-01-25,1885,1,10,0,6,210,10,13,58,13,56,583,262,59,1,12,13,51,16,278,51,182
2021-01-26,4188,68,118,9,139,226,62,302,19,164,79,548,1088,93,153,90,114,120,79,485,68,164
2021-01-27,4106,37,51,6,6,282,26,225,145,114,116,887,578,59,108,57,59,116,91,939,57,147
2021-01-28,2369,49,53,5,8,114,42,174,47,123,85,311,422,59,100,50,71,77,12,411,45,111
2021-01-29,4254,28,48,0,89,252,30,163,87,102,57,818,708,35,102,49,74,88,52,1179,100,193
2021-01-30,2695,29,56,10,151,21,39,152,37,84,60,615,314,24,58,35,105,44,122,554,60,125
2021-01-31,1164,2,6,0,34,23,6,7,36,3,10,342,134,2,38,14,2,16,45,309,43,92
2021-02-01,1552,4,9,0,15,148,11,9,23,3,33,428,373,46,30,11,5,47,8,240,32,77
2021-02-02,4315,86,91,5,54,320,85,295,77,104,42,593,833,86,129,98,187,152,75,825,45,133
2021-02-03,3737,26,49,3,152,206,30,173,97,118,163,799,497,58,84,39,142,102,100,669,86,144
2021-02-04,3395,32,60,8,125,163,42,134,61,60,85,585,594,51,136,76,131,91,61,725,51,124
2021-02-05,3260,23,30,0,108,173,36,183,49,100,31,487,593,57,94,71,140,91,26,751,70,147
2021-02-06,2333,37,59,1,100,23,40,137,26,76,86,326,178,20,52,40,183,86,65,614,65,119
2021-02-07,1013,3,9,2,37,10,7,10,17,3,18,215,156,3,35,14,8,2,10,322,28,104
2021-02-08,1505,3,4,1,10,191,8,11,12,20,59,283,498,3,57,3,10,14,10,191,31,86
2021-02-09,4068,42,93,1,213,312,58,282,41,124,53,205,804,114,166,104,318,160,93,705,52,128
2021-02-10,4353,33,61,11,101,196,42,211,83,104,105,886,714,73,131,62,172,79,41,1067,58,123
2021-02-11,3806,26,67,7,108,219,37,192,64,119,84,692,795,53,91,42,154,69,28,790,58,111
2021-02-12,3569,20,41,4,138,222,32,177,49,62,84,515,733,76,110,61,190,86,89,714,54,112
2021-02-13,2771,23,62,3,113,12,40,184,33,79,65,355,277,38,112,54,183,61,63,788,73,153
2021-02-14,1211,3,4,0,32,21,5,8,18,1,35,222,177,1,43,16,6,1,17,465,62,74
2021-02-15,1902,3,10,0,40,174,7,3,31,40,17,350,671,62,18,22,30,8,9,309,57,41
2021-02-16,4206,50,96,2,62,274,9,300,114,46,109,478,880,101,134,95,419,103,76,638,74,146
2021-02-17,4965,30,59,3,240,261,102,243,76,168,172,616,1066,79,164,53,207,95,80,1013,77,161
2021-02-18,4134,24,78,2,237,190,39,169,90,68,180,591,1008,64,141,77,220,62,75,618,51,150
2021-02-19,4028,25,76,4,159,244,44,174,76,67,116,601,851,85,117,90,188,70,59,797,65,120
2021-02-20,2781,40,58,4,136,23,63,187,22,62,99,343,326,67,102,42,200,40,54,678,87,148
2021-02-21,1599,1,3,0,33,16,0,3,30,2,47,246,278,0,49,31,5,22,16,708,28,81
2021-02-22,2543,2,11,1,61,253,4,12,47,3,94,264,870,34,42,13,10,1,37,590,92,102
2021-02-23,5407,37,134,3,187,324,104,365,148,70,133,446,1528,130,177,109,399,119,49,740,61,144
2021-02-24,4977,13,78,6,192,331,64,198,103,84,171,635,1035,132,126,64,195,76,102,1121,119,132
2021-02-25,4831,28,97,6,203,245,58,227,88,66,181,486,939,120,133,66,185,61,37,1409,56,140
2021-02-26,4583,20,75,4,341,228,39,191,100,55,127,539,1173,101,110,46,166,52,58,975,13,170
2021-02-27,3107,19,85,13,126,11,59,200,30,63,83,298,533,73,106,56,196,61,68,729,197,101
2021-02-28,1242,2,2,0,61,7,2,3,29,2,36,243,256,5,36,29,2,12,0,376,29,110
2021-03-01,2828,3,17,4,145,229,5,9,54,10,183,327,1056,0,37,30,8,2,54,391,126,138
2021-03-02,6191,47,142,9,407,380,81,287,144,85,211,536,1451,264,168,128,348,99,107,1058,66,173
2021-03-03,4873,26,94,15,247,281,103,234,110,80,207,504,1088,122,143,99,169,73,59,971,124,124
2021-03-04,4882,33,111,11,245,286,44,178,101,50,151,517,1077,87,149,103,189,102,103,1056,135,154
2021-03-05,4069,28,94,3,198,248,75,179,102,37,98,396,920,141,156,113,153,62,81,741,109,135
2021-03-06,3455,33,113,23,228,240,57,238,92,46,111,225,725,64,118,84,192,81,3,575,57,150
2021-03-07,1451,0,9,0,24,22,0,11,22,2,156,374,354,16,20,19,4,3,61,93,120,141
2021-03-08,1981,0,11,3,17,7,7,11,11,6,101,139,918,46,74,14,6,11,7,445,63,84
2021-03-09,5928,53,192,15,310,432,52,387,147,63,112,619,1459,180,166,165,302,156,161,701,120,136
2021-03-10,5329,29,148,15,283,320,120,230,140,47,189,416,1556,100,166,94,101,91,121,904,105,154
2021-03-11,5333,32,125,8,234,240,55,232,101,26,124,438,1266,155,172,128,124,91,91,1411,123,157
2021-03-12,4994,23,123,9,232,330,61,215,125,38,115,415,1239,139,153,97,109,75,85,1157,78,176
2021-03-13,3953,40,171,12,233,256,69,313,79,46,51,364,875,92,130,92,140,47,63,557,161,162
2021-03-14,1039,2,20,1,77,30,6,13,10,0,42,129,332,17,50,48,2,42,22,49,45,102
2021-03-15,2715,1,18,0,75,8,5,8,2,5,31,198,1175,58,73,14,20,11,5,842,60,106
2021-03-16,6787,58,209,4,300,386,96,377,221,68,61,746,1909,220,236,187,300,159,171,747,138,194
2021-03-17,6431,28,170,22,212,377,75,365,141,80,267,463,1651,186,211,129,120,131,85,1440,122,156
2021-03-18,5738,40,186,14,290,309,91,287,173,55,274,499,1199,178,219,138,140,117,94,1029,200,206
2021-03-19,5404,44,133,7,265,374,102,297,143,43,189,462,1285,199,214,124,98,130,131,915,90,159
2021-03-20,4380,40,173,13,223,299,61,291,148,68,68,413,602,103,248,109,111,87,79,921,150,173
2021-03-21,1579,0,36,9,15,23,3,30,24,1,89,181,426,45,44,55,3,8,32,277,126,152
2021-03-22,2687,0,27,1,196,224,3,14,18,12,66,176,743,134,42,18,11,12,8,698,158,126
2021-03-23,7652,102,264,19,304,554,87,344,284,71,90,641,2235,232,339,227,205,107,191,1037,125,194
2021-03-24,7707,50,237,17,255,427,73,508,213,72,104,800,1842,236,221,158,113,233,142,1632,246,128
2021-03-25,6365,48,189,8,227,343,80,275,211,42,96,535,1372,172,307,161,98,167,139,1443,201,251
2021-03-26,6294,42,180,26,224,281,60,283,271,54,126,601,1543,205,247,102,76,120,113,1362,153,225
2021-03-27,5196,60,176,36,197,350,52,304,208,74,63,461,997,102,196,140,120,148,128,1000,186,198
2021-03-28,1980,1,60,0,102,26,3,3,76,2,104,312,289,97,77,53,2,25,43,325,137,243
2021-03-29,2963,6,11,1,86,301,2,13,0,7,70,161,1042,143,126,34,4,16,17,475,243,205
2021-03-30,8468,103,309,17,296,387,65,532,345,122,99,800,2329,387,299,225,185,237,259,1039,212,221
2021-03-31,8290,69,216,35,238,374,147,325,234,105,191,691,2174,230,318,182,89,247,171,1666,358,230
2021-04-01,6977,72,192,12,96,298,89,334,261,92,218,614,1676,228,325,162,99,242,155,1337,230,245
2021-04-02,6838,94,213,28,364,277,63,316,243,118,214,618,1483,185,329,188,82,181,206,1152,247,237
2021-04-03,3404,39,148,1,113,282,34,16,5,4,89,307,694,163,151,103,4,120,26,809,74,222
2021-04-04,1449,1,8,3,4,10,3,10,38,7,64,214,354,8,154,8,4,2,0,167,183,207
2021-04-05,3103,1,10,12,137,25,71,10,5,3,94,156,1254,81,112,15,4,3,6,627,279,198
2021-04-06,6812,86,323,15,275,533,70,477,60,50,90,475,1893,339,275,280,156,213,268,557,177,200
2021-04-07,7829,109,315,23,323,332,98,307,465,185,214,1053,1452,348,315,175,156,294,160,1081,205,219
2021-04-08,7760,91,262,37,333,295,128,299,287,163,182,837,1371,208,420,227,114,324,174,1377,429,202
2021-04-09,7630,87,262,27,227,255,105,268,313,152,109,716,1776,259,303,186,105,291,235,1557,218,179
2021-04-10,5626,79,233,40,293,253,143,254,191,148,150,518,1207,120,200,187,108,297,73,844,69,219
2021-04-11,2390,2,69,0,13,18,2,6,53,5,212,357,432,137,175,89,4,3,7,324,316,166
2021-04-12,3473,2,17,15,55,224,6,10,36,11,187,264,949,136,148,26,30,35,55,884,155,228
2021-04-13,8869,175,319,13,327,334,196,413,388,165,269,898,2385,350,299,295,207,361,200,778,266,231
2021-04-14,7094,123,202,24,199,267,101,237,227,185,156,664,1563,214,297,182,95,281,146,1470,93,368
2021-04-15,7665,107,207,43,202,231,98,212,211,154,180,670,1760,159,398,211,120,358,158,1550,252,384
2021-04-16,6440,97,168,33,184,198,80,232,180,135,72,646,1537,237,269,142,91,263,155,978,395,348
2021-04-17,4984,87,178,53,169,192,101,218,224,153,70,427,856,128,206,136,93,268,125,971,79,250
2021-04-18,2514,1,43,1,69,22,8,4,78,2,151,329,481,51,147,74,29,4,83,303,222,412
2021-04-19,2713,6,15,16,59,213,7,6,24,25,182,255,720,103,107,30,11,35,10,389,175,325
2021-04-20,7538,188,307,12,247,232,159,321,337,206,212,758,1585,198,331,227,101,417,211,926,226,337
2021-04-21,7706,130,241,34,175,174,80,195,223,235,155,707,1556,246,406,140,158,331,147,1778,218,377
2021-04-22,6250,120,196,20,192,174,110,203,183,186,119,725,1464,203,274,195,125,288,152,757,184,380
2021-04-23,5503,94,177,20,144,141,74,186,234,154,88,526,1329,128,206,150,114,215,121,913,182,307
2021-04-24,4568,99,182,28,158,142,80,187,145,176,88,490,894,95,220,116,144,221,121,606,182,194
2021-04-25,1756,21,43,0,35,4,10,10,49,7,74,343,460,66,95,83,1,5,61,77,55,257
2021-04-26,3069,6,15,8,34,149,4,10,16,19,127,285,1079,96,80,25,14,28,27,521,246,280
2021-04-27,7267,183,286,13,206,182,156,345,335,266,99,856,1362,232,290,252,238,372,196,981,193,224
